Country,EdLevel,YearsCodePro,Salary,DevType,LanguageHaveWorkedWith,MiscTechHaveWorkedWith,WebframeHaveWorkedWith
15,2,30.0,153000.0,0,0,0,0
15,1,4.0,75000.0,5,0,2,1
9,2,1.0,9720.0,1,0,2,2
8,2,3.0,51888.0,5,0,2,5
2,2,15.0,75631.0,0,0,2,3
6,1,6.0,55130.0,5,0,2,3
2,0,10.0,68068.0,0,0,0,5
15,1,10.0,200000.0,5,0,0,3
10,0,5.0,41000.0,8,5,2,1
4,0,23.0,64859.0,0,0,0,0
15,0,3.0,82750.0,3,0,0,2
8,1,1.0,23352.0,0,0,0,0
4,2,7.0,88208.0,5,0,4,3
14,1,3.0,33600.0,0,0,0,2
9,1,13.0,33408.0,0,0,0,0
3,3,0.5,24000.0,0,0,3,5
15,0,3.0,75636.0,5,0,0,3
4,2,15.0,175119.0,0,0,1,3
14,1,20.0,89189.0,0,0,1,5
4,0,5.0,51887.0,5,2,4,3
2,0,16.0,52942.0,0,0,0,0
14,0,12.0,82726.0,0,0,0,0
15,0,1.0,65000.0,5,0,4,5
15,2,7.0,160000.0,5,2,2,3
4,0,11.0,81074.0,0,0,2,1
15,1,8.0,200000.0,8,0,0,5
1,1,6.0,9072.0,0,0,4,5
5,0,6.0,20940.0,7,0,3,1
13,2,26.0,63120.0,0,0,0,5
15,0,16.0,105000.0,5,0,2,5
15,0,4.0,81000.0,0,2,2,3
15,0,7.0,125000.0,5,0,4,5
2,1,3.0,60505.0,5,0,4,5
1,2,13.0,21996.0,0,0,0,5
3,2,5.0,30916.0,0,0,2,5
14,1,4.0,20682.0,0,0,0,5
4,1,5.0,47563.0,0,0,0,5
14,2,4.0,118919.0,0,2,2,1
5,0,8.0,57240.0,4,0,4,5
13,0,14.0,24972.0,4,0,0,5
15,1,35.0,160000.0,0,0,0,5
15,0,20.0,144000.0,5,0,2,5
15,0,2.0,60000.0,8,0,2,3
4,2,3.0,81074.0,8,5,2,1
14,0,16.0,49119.0,5,0,0,5
3,0,10.0,33732.0,8,0,2,1
15,0,1.0,90000.0,0,0,2,5
5,2,10.0,111694.0,0,2,1,3
10,1,8.0,24540.0,8,0,2,3
2,0,3.0,31400.0,5,0,2,5
15,0,23.0,150000.0,0,0,0,3
5,0,8.0,29320.0,0,5,2,1
15,0,11.0,105000.0,5,0,0,2
5,2,9.0,44678.0,5,0,4,5
15,1,3.0,70000.0,5,0,0,3
6,2,26.0,45401.0,0,2,1,3
5,0,6.0,34904.0,0,0,2,5
15,2,8.0,150000.0,5,0,0,3
14,1,6.0,47826.0,4,0,4,5
8,0,21.0,81074.0,0,0,0,4
13,0,0.5,9862.0,4,0,2,3
2,1,4.0,55967.0,5,0,0,5
11,1,4.0,32429.0,4,0,4,3
15,2,5.0,140000.0,0,5,2,2
15,2,15.0,115000.0,0,0,0,5
15,0,10.0,130000.0,5,0,0,5
3,2,7.0,52968.0,0,0,0,2
5,0,9.0,25128.0,0,0,2,2
4,2,12.0,69183.0,2,0,0,5
5,0,0.5,9773.0,5,0,2,5
15,0,31.0,82000.0,0,0,0,5
15,0,5.0,76000.0,0,0,0,4
5,0,1.0,25131.0,5,0,2,5
14,1,7.0,55582.0,0,0,3,5
14,1,2.0,31020.0,0,0,0,5
15,0,13.0,97000.0,5,0,2,5
6,2,3.0,25944.0,0,0,0,5
9,2,7.0,15192.0,0,2,2,5
5,2,10.0,25131.0,1,2,2,2
1,1,6.0,26796.0,6,0,4,3
15,0,4.0,76000.0,5,0,1,3
0,0,1.0,40086.0,5,0,4,5
15,0,28.0,170000.0,5,0,0,0
3,0,16.0,25428.0,5,2,3,3
14,2,4.0,77556.0,1,0,2,5
4,2,3.0,40212.0,1,0,2,3
15,2,5.0,103000.0,5,0,0,5
1,0,5.0,82464.0,0,0,0,4
4,0,13.0,84316.0,5,0,0,0
8,2,2.0,60535.0,0,0,2,3
6,2,3.0,23782.0,0,2,2,2
14,0,8.0,193889.0,8,0,2,2
3,2,5.0,42158.0,0,0,0,2
15,0,4.0,132000.0,0,5,1,2
2,0,8.0,73741.0,0,5,2,2
1,0,2.0,27492.0,0,2,4,5
15,0,16.0,148000.0,0,0,0,2
15,0,20.0,135000.0,5,0,0,2
14,1,9.0,51704.0,0,0,0,5
3,0,4.0,24696.0,4,0,3,5
15,0,2.0,70000.0,5,0,2,5
5,2,12.0,23735.0,0,0,0,0
5,0,2.0,23735.0,0,2,2,3
5,0,2.0,18848.0,0,0,2,5
15,2,8.0,72000.0,0,0,2,3
2,0,10.0,56723.0,4,0,4,3
14,0,10.0,103408.0,0,2,2,5
15,0,4.0,140000.0,0,0,3,1
13,0,1.0,27612.0,5,0,4,3
14,2,5.0,96945.0,5,0,0,5
14,2,8.0,77556.0,5,0,0,5
2,1,2.0,24200.0,0,0,2,5
3,2,1.0,45401.0,1,0,2,2
15,0,26.0,204700.0,0,0,0,5
3,2,4.0,45401.0,8,0,2,3
15,0,1.0,61500.0,5,0,0,1
14,2,11.0,64630.0,0,0,0,2
15,0,22.0,149000.0,0,0,0,0
10,0,5.0,84924.0,4,0,4,5
3,0,6.0,56211.0,4,0,4,3
11,0,6.0,28536.0,5,2,1,3
15,0,14.0,165000.0,5,0,0,3
10,2,15.0,43404.0,0,0,0,5
1,3,4.0,17868.0,5,2,2,3
15,2,28.0,180000.0,5,0,0,2
15,1,4.0,65000.0,0,0,0,2
3,2,2.0,54049.0,5,2,2,3
15,1,5.0,150000.0,0,0,2,2
5,0,11.0,41880.0,0,2,2,3
9,2,4.0,47076.0,0,2,2,3
3,2,3.0,48644.0,5,0,2,1
6,0,13.0,129718.0,5,2,2,5
6,3,10.0,45401.0,0,0,2,5
5,1,8.0,27923.0,0,0,0,5
3,2,12.0,76750.0,8,5,2,1
15,2,3.0,130000.0,0,0,2,4
14,2,5.0,38778.0,0,0,0,0
3,2,7.0,54049.0,0,0,4,5
15,1,6.0,89000.0,5,0,0,3
15,0,15.0,95000.0,0,0,2,5
3,2,6.0,54049.0,0,0,0,2
2,1,21.0,60505.0,5,0,2,5
15,0,2.0,55000.0,5,0,4,3
3,2,0.5,41508.0,8,0,2,3
15,0,13.0,156000.0,0,0,0,2
4,1,23.0,72636.0,5,0,0,3
14,0,9.0,77556.0,0,0,1,5
8,0,5.0,59454.0,0,0,1,3
3,2,6.0,43239.0,0,0,4,5
15,0,12.0,135000.0,0,0,2,5
14,3,4.0,116333.0,0,2,2,3
15,3,8.0,130000.0,5,2,2,4
14,0,20.0,142185.0,5,0,0,4
3,0,15.0,45401.0,0,0,0,5
4,1,5.0,63778.0,8,0,0,2
4,1,12.0,49725.0,0,0,0,2
2,0,6.0,58236.0,5,0,4,5
13,2,0.5,49308.0,0,5,2,3
15,2,25.0,129000.0,0,0,0,5
15,0,6.0,75000.0,0,0,0,2
15,0,35.0,115000.0,8,0,0,2
14,0,0.5,38778.0,5,0,2,1
14,0,6.0,43948.0,5,0,0,5
15,2,20.0,130000.0,1,0,2,5
15,0,3.0,66000.0,0,0,2,5
2,0,11.0,74497.0,0,0,0,5
5,0,16.0,27923.0,8,0,0,2
0,3,7.0,76831.0,0,2,2,1
2,0,5.0,58236.0,5,0,0,0
15,1,11.0,135000.0,0,0,0,2
2,2,20.0,77900.0,8,0,2,5
5,1,8.0,16754.0,5,0,4,4
14,0,4.0,77556.0,0,5,2,1
15,2,9.0,130000.0,5,0,0,5
5,0,4.0,8040.0,5,0,0,0
15,0,2.0,65000.0,5,0,0,0
1,0,8.0,41232.0,0,2,2,5
14,2,5.0,49119.0,0,0,0,2
14,2,16.0,58167.0,0,0,0,3
14,0,17.0,93067.0,0,0,0,2
5,2,19.0,60300.0,5,0,0,5
1,3,4.0,27492.0,5,2,4,3
15,0,7.0,100000.0,5,0,0,5
1,1,5.0,13973.0,0,0,2,3
15,0,1.0,60000.0,8,0,4,5
15,1,23.0,110000.0,0,0,0,2
5,2,2.0,12566.0,0,0,4,5
14,2,12.0,116301.0,7,0,2,3
15,1,0.5,56400.0,5,0,0,2
1,0,20.0,62994.0,0,0,3,4
15,0,2.0,145000.0,0,0,2,2
